DT Time,Aircraft(Obj),ATIS Transcription Start,ATIS Transcription End,ATIS Transcription Text,Approach/Departure Transcription Start,Approach/Departure Transcription End,Approach/Departure Transcription Text,TOWER Transcription Start,TOWER Transcription End,TOWER Transcription Text
000500Z,"[{""Time"": ""000400Z"", ""Hex"": ""a32acf"", ""Distance to GSO"": 9.063979415, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 453.8, ""Track"": 53.96, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": ""A3"", ""Latitude"": 36.247947, ""Longitude"": -79.918466, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.408, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 19615083, ""Seen"": 0.3, ""RSSI"": -12.2}, {""Time"": ""000400Z"", ""Hex"": ""a2d112"", ""Distance to GSO"": 7.779566345, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 139.0, ""Track"": 52.31, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": NaN, ""Latitude"": 36.164841, ""Longitude"": -79.800053, ""NIC Navigation Integrity Category"": 0.0, ""RC Navigation Accuracy Category"": 0.0, ""Seen Position"": 31.398, ""Version"": NaN, ""NIC Baro"": NaN, ""NAC P"": NaN, ""NAC V"": 0.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": NaN, ""SDA System Design Assurance"": NaN, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 53949, ""Seen"": 31.4, ""RSSI"": -23.5}]",00:04:28,00:05:08,"""taxi way delta closed between taxi way kilo and taxi wayt eto one taxi way kilo closed between runway one four and taxi way kilo one taxi way deto one between taxi way delta and  ils runway five right ou of service runway five righ approach tt out of service runway five right precisin approach passing de out of service runway two three righl rea a ol runway hold short andtrction contact ground on to one point nine for clearance and taxi instrction advi t you have information echo""",00:04:27,00:04:31,"""lfmike ma four five""",00:04:27,00:04:31,"""tr four zero zro november alfa"""
000530Z,[],00:04:28,00:05:08,"""taxi way delta closed between taxi way kilo and taxi wayt eto one taxi way kilo closed between runway one four and taxi way kilo one taxi way deto one between taxi way delta and  ils runway five right ou of service runway five righ approach tt out of service runway five right precisin approach passing de out of service runway two three righl rea a ol runway hold short andtrction contact ground on to one point nine for clearance and taxi instrction advi t you have information echo""",00:04:50,00:05:01,"""three six five i si f fourclear e approach fromwa f twee  fivefive  fivethre""",00:04:42,00:05:02,"""three t towroto ungtointotone mikethorlimo rightto tho leftvthree trulymikee"""
000600Z,[],00:05:12,00:05:52,"""breenpo aerport at information echo two three five four zuluwindcalms one zero veelig two five thousand broken two three two poimnt three ibe thre zero to four visual approach five righ five left and yu runway one four three two close taxi way delta klosed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and""",00:05:20,00:05:35,"""information india frunway five righ  kilo to cross runway fiilo to  mikeon tcross runwa nano mike""",00:05:30,00:05:39,"""one eh fir wy clear to the aftr one eight zero theef four seventwo brava"""
000630Z,[],00:05:53,00:06:21,"""ils runway five right out of service runway five right approach  t out of servics runway five right precision approach pass ingtiter out of service runway two three rg  reao runway hold short instruction contact roundonto point nine four clearance and taxi instructions advis on nitia contact you have information echo""",00:05:48,00:06:08,"""fofivfvftiiffoer or""",00:05:54,00:06:00,"""otthretos four one i six"""
000700Z,[],00:06:25,00:07:11,"""greenboro arport  information echo two three five four zulundclm one zero telig two five thousand broken two three two poimnt three an three zero two four visual approach five riget five left nus noir miiorunway one four three two plose taxi way delta losed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and  ils runway five right out of service runway five right approach igt out of servie""",00:06:22,00:06:31,"""andtentyht anwo wa our pote eight two""",00:06:30,00:06:44,"""blu ti si fivet ti o fivetworeeveln fives five twoto"""
000730Z,[],00:06:25,00:07:11,"""greenboro arport  information echo two three five four zulundclm one zero telig two five thousand broken two three two poimnt three an three zero two four visual approach five riget five left nus noir miiorunway one four three two plose taxi way delta losed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and  ils runway five right out of service runway five right approach igt out of servie""",00:06:46,00:07:03,"""tetor two trezr four four fwour heavy three zero two eight romebithree zero two""",00:06:40,00:07:03,"""ue five six four threeof tzero fr fivefue"""
000800Z,[],00:07:20,00:07:33,"""re runway hold short instruction contact rondon point nine for clearance and taxi instruction adlionia contact you have information echo""",00:07:15,00:07:32,"""to five fouripp ixpect fyeright""",00:07:11,00:07:33,"""two contact fouru vneit two good bye futh for zr ztowr heading o  fortaoftwoo zero four fou zer"""
000830Z,[],00:07:56,00:08:05,"""visual approach five right five left anus notice till airmisi runway one four three two close""",00:07:59,00:08:09,"""november zero romeo contac tavel aproach one two five pointing one to eve two two""",00:07:57,00:08:03,"""two zero  f"""
000900Z,[],00:08:06,00:08:32,"""taxi way delta closed between taxi way kilo and taxi way delto one taxi way kilo closed between runway one four and tai way kilo one tactiway tet one between taxi way delta and ils runway five right ou of serfice runway five right approach flihtifn out of service runway five right prein approach passing ter out of service runway two three rig""",00:08:19,00:08:33,"""two seven six limat dt fourdrtnrfiv two seven six limaand  rapis fivev""",00:08:29,00:08:30,"""o"""
000930Z,"[{""Time"": ""000910Z"", ""Hex"": ""ac8ce9"", ""Distance to GSO"": 9.812281409, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 266.6, ""Track"": 225.46, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": ""A2"", ""Latitude"": 36.260468, ""Longitude"": -79.95615, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.395, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 7601850, ""Seen"": 0.1, ""RSSI"": -5.9}]",00:08:50,00:09:30,"""greenporow aerport a information echo two three five four zulu wnd calm one zero ceel two five thousand broken two three two point three tin bel three zero two four visual approach five righ five left an us no runway one four three two klose taxi way delta closed between taxi way kilo and taxiway delta one taxi way kilo closed between runway one four and taxiway kilo one taxi way delta one between taxi way delta and""",00:08:59,00:09:04,"""ok oo thousand one to twro four five five""",00:08:52,00:09:02,"""four forkdfourtofork"""
001000Z,"[{""Time"": ""000910Z"", ""Hex"": ""ac8ce9"", ""Distance to GSO"": 9.812281409, ""Data Source Type"": """", ""Flight Number"": """", ""Aircraft Registration"": """", ""Aircraft Type"": """", ""Altitude Barometric"": """", ""Altitude Geometric"": """", ""Ground Speed"": 266.6, ""Track"": 225.46, ""Barometric Rate"": """", ""Squawk Code"": """", ""Emergency"": ""none"", ""Category"": ""A2"", ""Latitude"": 36.260468, ""Longitude"": -79.95615, ""NIC Navigation Integrity Category"": 8.0, ""RC Navigation Accuracy Category"": 186.0, ""Seen Position"": 0.395, ""Version"": 2.0, ""NIC Baro"": 1.0, ""NAC P"": 9.0, ""NAC V"": 1.0, ""SIL Source Integrity Level"": """", ""SIL Type"": ""perhour"", ""GVA"": 2.0, ""SDA System Design Assurance"": 2.0, ""Alert"": 0.0, ""SPI"": 0.0, ""MLAT"": ""[]"", ""TISB"": ""[]"", ""Messages"": 7601850, ""Seen"": 0.1, ""RSSI"": -5.9}]",00:08:50,00:09:30,"""greenporow aerport a information echo two three five four zulu wnd calm one zero ceel two five thousand broken two three two point three tin bel three zero two four visual approach five righ five left an us no runway one four three two klose taxi way delta closed between taxi way kilo and taxiway delta one taxi way kilo closed between runway one four and taxiway kilo one taxi way delta one between taxi way delta and""",00:09:28,00:09:34,"""fifty seven sixty nine to  three thouand six teen oine""",00:09:30,00:09:41,"""nthree ruing four six nf tak kilo one intersection fouro seven thousand one hundred"""
